Id;BEER_Size(L);PROD_OriginalGravity;BEER_FinalGravity;BEER_AlcoholByVolume;BEER_IBU;BEER_Color;PROD_BoilSize;PROD_BoilTime;PROD_BoilGravity;PROD_Efficiency;PROD_MashThickness;PROD_SugarScale;PROD_BrewMethod;PROD_PitchRate;PROD_PrimaryTemp;PROD_ExcessGravity;Style
3447;11.36;1.057;?;5.64;22.69;7.19;15.14;?;1.043;70;1.5;0;All Grain;?;?;60.57;American Pale Ale
3449;41.64;?;1.02;8.1;70.42;11.44;53;60;1.064;75;1.25;0;All Grain;1;18.33;?;American IPA
3451;11.36;1.058;1.011;6.14;?;6.79;15.14;60;1.044;?;1.5;0;All Grain;0.75;17.78;60.58;American Pale Ale
3452;124.92;1.054;?;5.28;18.68;6.5;140.06;60;?;68;?;0;All Grain;?;?;60.54;American Pale Ale
3453;3.79;1.055;1.014;5.4;51.17;12.7;4.73;45;1.044;35;?;0;extract;?;18.33;60.55;American IPA
3454;35;1.044;1.007;4.89;36.16;6.63;28.5;60;1.054;70;2.5;0;All Grain;0.5;18;60.44;American Pale Ale
3455;11;1.047;1.014;4.27;29.8;8.78;12.5;-1;1.041;74;1;0;All Grain;0.35;19;60.47;American Pale Ale
3463;40;1.069;?;6.72;69.54;8.53;47;60;?;70;?;0;All Grain;0.75;20;60.69;American IPA
3464;22.71;1.062;1.016;6.14;5.44;5.55;11.36;?;1.125;35;?;0;Partial Mash;?;?;60.62;American Pale Ale
3466;18.93;1.072;1.017;7.18;197.12;12.43;18.93;90;1.072;35;?;0;extract;?;21.11;60.72;American IPA
3467;18.93;1.051;?;5.21;31.39;?;25.78;90;1.038;70;1.332;0;All Grain;0.5;20;60.51;American Pale Ale
3469;37.85;1.052;?;5.14;46.54;?;49.21;60;1.04;65;1.25;0;?;0.75;22.22;60.52;American Pale Ale
3470;20.82;1.083;1.019;8.37;258.03;23.23;34.07;90;1.051;35;1.25;0;All Grain;1;20;60.83;American IPA
3473;20.82;1.076;1.026;6.55;?;10.95;26.5;75;?;75;?;0;Partial Mash;0.5;20;60.76;American IPA
3474;370.97;?;1.012;5.38;37.49;6.02;416.4;60;1.047;?;1.3;0;?;?;20;?;American Pale Ale
3478;45.42;1.055;1.014;?;62.24;9.99;51.1;60;1.049;35;?;0;extract;?;?;60.55;American IPA
3479;20.82;?;1.016;6.22;-1;9.85;28.39;-1;1.046;70;1.25;0;All Grain;?;?;?;American IPA
3481;37.85;1.09;1.021;9.06;101.58;6.05;?;60;1.075;75;1.3;0;All Grain;1;20;60.9;American IPA
3482;15;1.045;1.009;4.8;36.49;7.42;16;?;1.042;68;1.2;0;All Grain;0.35;?;60.45;American Pale Ale
3485;20;1.069;1.014;7.22;31.84;8.36;23;60;1.06;?;?;0;?;?;?;60.69;American Pale Ale
3486;423.97;1.076;1.013;8.15;111.67;13.66;469.39;60;1.068;75;1.25;0;All Grain;?;19.44;60.76;American IPA
3489;5;1.056;1.009;6.12;53.79;7.94;5;60;1.056;75;?;0;BIAB;?;18;60.56;American IPA
3490;19;1.063;?;6.22;60.72;10.47;14;60;1.085;70;2.5;0;All Grain;0.5;24;60.63;American IPA
3491;23;?;?;4.5;?;8.92;28.5;60;1.037;75;3;0;All Grain;?;?;?;American Pale Ale
3492;20.82;1.062;1.019;5.65;?;6.02;15.14;60;1.085;?;?;0;Partial Mash;0.75;18.89;60.62;American IPA
3493;20.82;1.055;1.014;5.37;35.77;-1;24.61;-1;?;80;?;0;All Grain;?;?;60.55;American Pale Ale
3494;12;1.054;1.014;5.28;24.46;4.02;15;60;1.043;73;?;0;BIAB;?;26;60.54;American Pale Ale
3503;18.93;1.059;1.014;5.79;22.91;6.9;28.39;60;1.039;70;1.25;0;All Grain;?;20;60.59;American Pale Ale
3504;22.71;1.064;1.017;6.19;-1;6.25;30.28;-1;1.048;70;1.5;0;All Grain;?;?;60.64;American IPA
3511;20.82;1.071;1.017;7.09;101.27;6.1;13.25;60;1.111;70;?;0;Partial Mash;0.75;21.11;60.71;American IPA
3512;12.5;?;1.011;7.17;57.03;8.69;16;60;1.051;70;?;0;Partial Mash;?;19;?;American IPA
3515;20.82;1.069;1.016;6.96;-1;13.97;25.55;60;1.057;70;1.33;0;?;0.35;22.22;60.69;American IPA
3517;19;1.053;1.012;5.36;0.89;8.09;1;90;1.5;70;3;0;All Grain;?;20;60.53;American IPA
3518;21;1.07;1.02;6.51;41.35;4.18;28.5;60;1.051;80;3;0;All Grain;?;20;60.7;American IPA
3526;18.93;1.051;1.012;5.06;48.48;4.26;30.28;60;1.032;70;?;0;All Grain;?;21.11;60.51;American Pale Ale
3530;280;1.065;1.013;6.88;39.75;10.79;320;70;1.057;40;1.5;0;All Grain;0.75;25;60.65;American Pale Ale
3531;20.82;1.065;1.021;5.76;64.94;9.66;11.36;60;1.118;35;?;0;Partial Mash;?;21.11;60.65;American IPA
3533;25;1.071;1.016;7.31;63.25;14.94;34;?;1.053;70;?;0;BIAB;0.5;17;60.71;American IPA
3535;17.03;1.063;1.014;6.41;94.69;6.8;26.5;75;1.041;70;?;0;BIAB;0.35;18.33;60.63;American IPA
3537;24;1.046;1.009;4.92;51.48;8.45;24;90;1.046;35;?;0;extract;0.5;18;60.46;American Pale Ale
3546;21;1.07;1.019;6.62;-1;6.28;27;-1;1.054;70;3;0;All Grain;?;20;60.7;American IPA
3547;24.61;1.056;1.014;5.61;30.04;7.4;?;90;1.034;70;1.5;0;All Grain;0.75;19.44;60.56;American Pale Ale
3548;18.93;1.056;1.013;5.57;43.02;10.33;11.36;60;?;75;?;0;extract;?;?;60.56;American IPA
3550;19;1.054;?;5.84;32.23;5.02;?;90;1.038;70;3.7;0;All Grain;0.75;18;60.54;American Pale Ale
3552;18;1.056;1.011;6;23.09;5.65;20;60;1.051;60;?;0;All Grain;0.35;21;60.56;American Pale Ale
3555;39.75;1.048;1.008;5.25;84.17;8.25;45.42;60;1.042;70;?;0;BIAB;0.5;15.56;60.48;American IPA
3556;20.82;1.062;1.015;6.17;27.9;6.89;28.39;60;1.045;70;1.25;0;All Grain;?;?;60.62;American IPA
3557;17.03;1.056;1.011;5.89;67.75;6.06;26.5;90;1.036;67;3.4;0;All Grain;1.75;14.44;60.56;American IPA
3559;155;1.044;1.007;4.84;?;5.22;180;60;?;70;3;0;All Grain;0.35;22;60.44;American Pale Ale
3563;25;1.04;?;4.2;34.46;10.48;28.3;60;1.035;72;?;0;BIAB;1;19;60.4;American IPA
3569;24;1.05;1.009;5.32;30.49;4.82;28.5;60;1.042;90;3;0;All Grain;?;19;60.5;American Pale Ale
3570;20;11.9585;2.60707;4.99;34.62;5.83;23;60;10.5;75;5.2;1;All Grain;?;?;169.585;American Pale Ale
3571;11.36;1.064;1.012;6.79;57.6;6.61;15.14;60;1.048;72;?;0;BIAB;?;?;60.64;American IPA
3572;20.82;1.066;1.016;6.57;-1;7.19;28.39;60;1.048;70;2;?;?;0.35;18.33;60.66;American Pale Ale
3574;20;1.053;1.01;5.64;46.97;3.13;22;60;1.048;75;?;0;All Grain;?;?;60.53;American Pale Ale
3577;20.82;1.069;1.016;6.94;72.09;7.46;32.02;-1;1.045;70;1.25;0;All Grain;0.75;20;60.69;American IPA
3579;18.93;1.088;1.022;8.54;101.01;11.87;24.61;60;1.067;70;1.5;0;All Grain;?;20;60.88;American IPA
3580;22.71;1.06;1.016;?;9.79;8.8;24.61;60;1.055;70;1.5;0;All Grain;1;20;60.6;American IPA
3581;20.82;1.06;1.015;5.94;40.79;11.12;26.5;60;1.047;64;?;?;BIAB;0.35;18.33;60.6;American Pale Ale
3582;12.2;1.054;1.012;5.53;35.71;15;14.5;60;1.045;75;3;0;All Grain;0.5;23;60.54;American Pale Ale
3583;37;1.049;1.012;4.8;38.68;8.8;42;60;1.043;35;3;0;All Grain;?;?;60.49;American Pale Ale
3584;21.2;1.054;1.013;5.29;69.96;4.46;26.5;-1;1.043;35;?;0;extract;?;22.22;60.54;American IPA
3585;20.82;1.021;1.003;2.25;25.1;3.07;26.5;-1;1.016;35;?;0;BIAB;?;?;60.21;American Pale Ale
3587;23;1.049;1.008;5.32;43.57;5.25;28.5;60;1.039;77;2.5;0;All Grain;0.75;19;60.49;American Pale Ale
3588;20.82;1.065;1.016;6.49;125.17;13.97;28.39;60;1.048;70;?;0;?;?;?;60.65;American IPA
3589;22;1.055;1.011;5.76;71.84;3.98;24;60;1.05;65;3.5;0;All Grain;0.35;25;60.55;American Pale Ale
3591;44;1.057;1.011;6.04;69.72;4.4;55;-1;1.046;70;2.7;0;All Grain;?;?;60.57;American IPA
3594;30;1.066;1.011;7.26;-1;12.09;20;60;1.1;85;2.5;0;All Grain;0.5;21;60.66;American Pale Ale
3595;20;1.054;1.012;5.42;23.48;?;28.5;60;1.038;70;3;0;All Grain;?;?;60.54;American Pale Ale
3596;11.36;1.074;?;7.1;56.83;11.03;15.14;60;1.056;78;1.5;0;All Grain;1.25;20;60.74;American IPA
3597;24.61;1.071;1.018;6.89;88.67;6.08;30.28;90;?;75;?;0;All Grain;1.25;21.11;60.71;American IPA
3598;20.82;1.057;1.01;6.18;106.02;9.12;29.34;60;1.041;70;1.5;0;All Grain;1;21.11;60.57;American IPA
3599;21;1.07;1.014;7.34;36.83;7.24;28.5;60;1.051;86;3;0;All Grain;?;20;60.7;American Pale Ale
3600;22.71;1.052;1.011;5.42;45.43;7.85;34.07;-1;1.035;80;1.5;0;All Grain;?;16.67;60.52;American Pale Ale
3602;22.71;1.042;1.012;3.82;0;4.19;28.39;60;1.033;?;1.25;0;All Grain;0.75;21.11;60.42;American IPA
3603;18.93;1.067;1.014;6.9;69.25;6.74;34.07;-1;1.037;68;?;0;?;0.35;20;60.67;American IPA
3605;21.77;?;1.01;7.14;60.96;7.24;27.44;60;1.051;70;1.3;0;All Grain;0.75;20;?;American IPA
3608;20.8;1.06;?;6.51;39.63;6.54;25.6;60;1.048;70;3.1;0;All Grain;0.35;64;60.6;American IPA
3611;85;1.06;1.013;6.16;-1;?;95;90;1.054;60;3;0;All Grain;?;20;60.6;American IPA
3613;19.87;1.044;1.014;4.01;46.91;5.22;13.25;60;1.035;35;?;0;extract;0.75;21.11;60.44;American Pale Ale
3614;21.77;1.06;1.014;5.97;72.12;8.31;27.44;60;1.047;70;1.5;0;All Grain;0.75;?;60.6;American IPA
3615;28;1.054;1.01;5.72;11.13;4.95;12;90;1.126;30;?;0;extract;0.35;18;60.54;American Pale Ale
3617;20.82;1.051;1.012;5.08;36.66;8.68;26.5;60;1.04;75;1.5;0;All Grain;0.5;16.67;60.51;American Pale Ale
3618;8;1.061;1.016;5.83;30.64;5.01;12;60;1.04;50;?;0;Partial Mash;?;18;60.61;American Pale Ale
3620;23;1.063;1.017;?;148.36;7.08;31;60;1.047;70;3;0;All Grain;?;20;60.63;American IPA
3623;23;1.06;1.014;6.09;31.92;?;28;60;1.049;85;3;?;All Grain;0.5;18;60.6;American Pale Ale
3624;20.82;1.049;1.012;4.87;61.03;6.1;24.98;?;1.041;65;1.25;0;All Grain;?;?;60.49;American Pale Ale
3626;41.64;1.076;?;8.03;?;7.54;53;60;1.06;80;2;?;All Grain;0.75;18.33;60.76;American IPA
3627;9.46;1.056;1.014;5.52;39.9;?;11.36;60;1.046;70;?;0;BIAB;0.35;19.44;60.56;American Pale Ale
3629;19;1.057;1.014;5.61;66.16;13.85;28.5;60;1.038;50;3;0;All Grain;0.35;19;60.57;American IPA
3631;20.82;1.06;1.017;5.68;63.27;10.49;22.71;45;1.055;75;?;0;Partial Mash;0.5;18.33;60.6;American IPA
3634;20.82;1.065;1.016;6.4;60.44;7.8;28.39;60;1.048;75;1.5;0;All Grain;?;?;60.65;American IPA
3638;41.64;1.047;1.013;4.41;43.87;6.4;49.21;60;1.039;73;1.5;0;All Grain;0.5;18.89;60.47;American Pale Ale
3640;800;1.046;1.008;5.09;40.44;5.8;900;60;1.041;70;?;0;All Grain;0.5;20;60.46;American Pale Ale
3641;23;1.041;1.009;4.2;62.2;5.96;?;60;1.038;55;3;0;All Grain;?;19;60.41;American IPA
3646;13.63;1.057;1.016;5.31;37.15;9.75;16.09;60;1.048;35;?;0;extract;?;20;60.57;American Pale Ale
3647;20.82;1.055;1.013;5.49;57.43;5.09;?;60;1.038;70;1.5;0;All Grain;0.75;20;60.55;American Pale Ale
3649;27.44;1.068;1.012;7.29;77.28;7.48;31.23;-1;?;77;1.5;0;All Grain;?;20;60.68;American IPA
3650;18.93;1.088;1.02;8.94;117.89;5.65;24.61;90;1.068;70;1.5;0;All Grain;?;22.22;60.88;American IPA
3654;19;1.06;1.011;6.73;71.94;12.74;22;60;1.052;54;3;?;All Grain;0.75;19;60.6;American IPA
3658;14;1.047;1.013;4.47;27.29;9.39;14;60;?;71;1;0;?;0.75;19;60.47;American Pale Ale
3659;200;1.061;1.015;5.98;54.67;10.81;220;60;1.055;75;3;?;All Grain;?;?;60.61;American IPA
3660;25;1.056;1.012;5.8;48.97;5.99;30;-1;1.047;65;?;0;BIAB;?;19;60.56;American Pale Ale
3661;11.36;?;1.017;6.63;68.82;-1;17.03;-1;1.045;70;1.24;0;All Grain;?;20;?;American IPA
3663;20.82;1.056;1.013;5.58;33.53;-1;13.25;60;1.061;40;?;0;extract;0.75;18.89;60.56;American Pale Ale
3665;19;1.052;?;5.06;37.06;8.27;25;?;?;70;?;0;BIAB;?;?;60.52;American Pale Ale
3666;18.93;1.045;1.009;4.74;84.64;3.13;11.36;30;1.047;35;?;0;extract;0.75;23.33;60.45;American Pale Ale
3667;18.93;1.06;1.016;5.79;32.42;7.32;24.61;60;1.046;70;1.5;0;All Grain;?;21.11;60.6;American IPA
3668;128;1.063;1.011;6.84;51.51;7.24;145;65;1.049;70;3;0;All Grain;?;21;60.63;American IPA
3669;20.82;1.066;1.011;7.17;93.51;9.36;28.39;90;1.048;71;1.5;0;All Grain;0.75;?;60.66;American IPA
3670;20.82;1.068;1.013;7.15;70.95;9.47;26.5;60;1.053;70;?;0;BIAB;?;?;60.68;American IPA
3673;20.82;1.062;1.014;6.3;89.91;-1;28.39;75;1.046;70;?;0;BIAB;?;-7.78;60.62;American IPA
3676;19.87;1.063;?;5.88;66.76;4.1;28.39;60;1.044;70;1.5;0;All Grain;?;20;60.63;American IPA
3679;3.79;1.065;1.018;6.1;65.13;8.44;5.68;60;?;65;1;0;All Grain;0.35;20;60.65;American IPA
3680;20.82;1.069;1.019;6.55;73.04;16.28;11.36;60;1.127;25;?;0;All Grain;?;?;60.69;American IPA
3681;21.77;1.086;1.022;8.5;165.34;10.56;29.34;90;1.064;73;2;0;All Grain;1;20;60.86;American IPA
3683;24.61;1.071;1.015;7.4;110.59;?;30.28;90;?;75;?;0;All Grain;1.25;18.89;60.71;American IPA
3686;41.64;1.064;1.012;6.86;-1;6.68;45.42;60;1.059;80;1.5;0;All Grain;1.25;21.11;60.64;American IPA
3687;20.82;1.056;1.01;6.02;64.92;9.47;28.39;60;1.041;70;1.25;?;All Grain;?;?;60.56;American IPA
3688;25;1.051;1.012;5.13;38.3;6.95;28.5;60;1.045;70;3;0;All Grain;?;?;60.51;American Pale Ale
3689;15;1.057;1.011;6.1;53.18;5.41;19;60;1.045;80;3;0;All Grain;?;?;60.57;American IPA
3690;23;1.066;1.018;6.36;73.51;5.16;10;60;1.072;70;?;0;Partial Mash;?;?;60.66;American IPA
3691;19.87;1.076;1.014;8.03;143.6;12.06;24.61;90;1.061;75;1.5;0;All Grain;?;19.44;60.76;American Pale Ale
3692;19.87;1.055;1.009;6.1;71.48;19.62;24.61;90;?;64;?;0;All Grain;?;?;60.55;American IPA
3693;25;1.066;1.015;6.75;45.44;14.24;33;90;1.05;75;2.7;0;All Grain;1;19;60.66;American IPA
3697;22.71;1.076;1.019;7.58;76.04;5.74;28.39;60;1.061;81;1.25;0;?;1;21.11;60.76;American IPA
3698;20.78;1.056;1.019;4.92;56.81;9.54;24.61;60;1.048;75;1.4;0;All Grain;0.35;18.89;60.56;American IPA
3701;23;1.054;1.011;5.67;23.59;6.31;26;?;1.048;68;?;0;BIAB;?;?;60.54;American IPA
3703;18.93;1.053;1.01;5.64;86.37;-1;25.55;60;1.039;50;?;?;BIAB;0.75;18.33;60.53;American IPA
3705;20.82;1.062;1.015;6.23;61.03;11.83;28.39;?;1.045;70;1.5;0;All Grain;?;?;60.62;American IPA
3706;18;?;1.012;4.84;44.65;7.77;22;60;1.04;75;3.5;0;All Grain;?;20;?;American Pale Ale
3707;18.93;1.055;1.015;5.26;?;-1;11.36;60;1.091;35;?;0;extract;?;15.56;60.55;American Pale Ale
3708;60;1.061;1.013;6.29;51.45;6.57;65;60;1.056;84;3;0;All Grain;0.5;20;60.61;American IPA
3710;20.82;1.074;?;6.96;88.27;4.57;28.39;60;1.054;35;?;0;extract;?;18.33;60.74;American IPA
3711;9.46;1.059;1.012;6.24;179.47;4.71;9.46;60;1.059;70;1.4;0;All Grain;?;18.89;60.59;American Pale Ale
3712;19;1.05;1.01;5.22;?;6.24;?;60;1.084;35;?;0;?;0.35;20;60.5;American Pale Ale
3713;20.82;1.061;1.018;5.65;60.88;10.71;28.39;60;1.045;60;2;0;All Grain;1.25;17.78;60.61;American Pale Ale
3714;17.98;1.07;1.015;7.13;127.12;7.95;22.71;60;1.055;75;1.5;0;All Grain;0.35;?;60.7;American IPA
3716;23.5;1.059;1.016;5.62;41.07;5.58;29.5;60;1.047;78;?;0;BIAB;?;15;60.59;American Pale Ale
3720;45.42;1.07;1.014;7.42;75.04;4.53;53;60;1.06;77.81;1.3;0;All Grain;?;20;60.7;American IPA
3724;21;1.055;1.015;5.21;?;3.58;29;60;1.04;75;3;0;All Grain;0.35;21;60.55;American Pale Ale
3726;43.53;1.064;1.019;6;-1;10.71;49.21;60;1.057;79;1.1;0;All Grain;?;?;60.64;American IPA
3728;20.82;1.072;?;6.99;87.05;6.63;24.61;60;1.061;58;1.33;0;All Grain;?;?;60.72;American IPA
3730;18.17;1.055;1.009;6.01;59.08;-1;13.25;60;1.076;60;?;0;All Grain;0.35;21.11;60.55;American Pale Ale
3734;19.87;1.054;1.01;5.87;?;5.89;28.39;60;1.038;70;?;0;BIAB;?;20;60.54;American Pale Ale
3735;20;1.051;?;4.98;37.58;5.97;24;60;1.042;67;3;0;All Grain;?;?;60.51;American Pale Ale
3736;15.14;1.043;1.008;4.54;41.37;5.58;?;60;1.034;35;?;0;extract;0.35;19.44;60.43;American Pale Ale
3737;20.06;1.061;1.015;6.03;72.72;5.7;15.14;60;1.081;70;?;0;Partial Mash;0.75;15.56;60.61;American IPA
3738;20;1.059;1.011;?;37.9;10.11;22;60;1.054;70;?;0;BIAB;0.35;21;60.59;American Pale Ale
3740;23;1.062;1.01;6.92;73.71;5.62;10;60;1.045;60;?;0;Partial Mash;?;?;60.62;American IPA
3744;45.42;1.066;1.012;7.17;74.41;9.21;49.21;?;1.061;70;?;0;BIAB;?;19.44;60.66;American IPA
3745;43.53;1.055;1.01;5.9;45.31;7.75;51.1;60;1.047;70;1.5;0;?;1;20;60.55;American IPA
3747;19;1.068;1.017;6.65;22.31;6.16;8;-1;1.16;75;?;0;Partial Mash;0.35;21;60.68;American Pale Ale
3749;20.82;16.1577;?;6.66;99.24;7.03;34.07;60;10.1;70;1.5;1;All Grain;0.75;17.78;211.577;American IPA
3750;34.07;1.066;1.017;6.5;59.07;13.33;37.85;60;1.059;65;1.25;0;All Grain;?;?;60.66;American IPA
3751;25;1.054;1.01;5.85;38.7;8.03;29.3;70;1.046;79;3.32;0;All Grain;1;17;60.54;American Pale Ale
3753;18.93;1.067;1.017;6.62;66.34;6.02;24.61;60;1.052;75;1.25;0;All Grain;0.75;21.11;60.67;American IPA
3754;26;1.058;1.015;5.74;183.08;10.15;28;60;1.054;76;3;0;All Grain;?;?;60.58;American IPA
3758;21.77;1.061;1.014;6.09;61.83;6.05;28.39;60;1.047;66;1.25;0;All Grain;1;20;60.61;American IPA
3760;18.93;1.049;1.011;4.91;39.3;13.65;11.36;60;1.081;35;?;0;extract;?;?;60.49;American IPA
3762;7.57;1.052;1.015;4.9;37.78;6.94;11.36;60;1.035;70;?;0;All Grain;0.5;20;60.52;American Pale Ale
3764;21;1.019;1.004;?;18.45;1.64;11;60;1.036;35;?;0;Partial Mash;?;24;60.19;American Pale Ale
3766;700;1.057;1.014;5.6;56.53;-1;230;60;1.173;95;1.5;0;All Grain;?;?;60.57;American IPA
3768;45.42;1.05;?;5.12;32.66;?;54.89;60;1.041;80;1.5;0;All Grain;1;13.89;60.5;American Pale Ale
3773;22;14.2445;2.46302;6.33;50.96;-1;30;-1;10.6;78;3;1;All Grain;?;?;192.445;American IPA
3774;22.71;1.062;1.014;6.38;-1;5.8;28.39;60;1.05;74;1.5;0;All Grain;0.35;20;60.62;American IPA
3775;1760.22;1.059;1.013;6.27;69.28;7.37;1877.56;90;1.055;?;1.5;0;All Grain;0.35;22.22;60.59;American IPA
3781;20.82;1.066;1.011;7.18;61.35;5.54;28.39;60;1.048;75;1.4;0;All Grain;?;?;60.66;American IPA
3783;19.5;1.066;1.016;6.55;129.07;6.32;28.4;60;1.045;68;3.1;0;All Grain;0.75;20;60.66;American IPA
3787;20.82;1.067;1.012;7.19;37.7;10.94;28.39;60;1.049;75;1.75;0;All Grain;1;21.11;60.67;American IPA
3788;18.93;?;?;6.81;?;7.61;11.36;60;1.092;?;?;0;Partial Mash;1;18.33;?;American IPA
3789;24;?;1.008;4.82;36.77;3.69;27;60;1.04;65;?;0;BIAB;0.35;22;?;American IPA
3790;18.93;1.072;1.017;7.25;70.72;6.57;26.5;?;1.052;70;1.79;0;All Grain;?;18.89;60.72;American IPA
3792;22.71;1.059;1.015;5.83;0;7.57;26.5;60;?;75;?;0;All Grain;?;?;60.59;American IPA
3793;8;1.046;1.009;4.93;39.83;6.49;4;60;1.093;?;?;0;BIAB;?;20;60.46;American Pale Ale
3795;83.28;1.053;1.013;5.25;59.6;8.35;98.42;60;1.045;75;1.5;0;All Grain;?;?;60.53;American Pale Ale
3800;20;1.051;1.01;5.41;51.45;6.59;26;60;1.04;75;3;0;?;?;?;60.51;American Pale Ale
3801;16;1.062;1.012;6.61;65.27;3.89;20;60;1.05;75;3;0;All Grain;?;?;60.62;American IPA
3803;20.82;1.066;1.018;6.33;-1;10.37;28.39;60;1.049;?;1.5;0;?;0.35;22.22;60.66;American IPA
3804;26;1.053;1.009;5.82;38.34;5.36;28.5;90;?;80;3;0;All Grain;0.75;20;60.53;American Pale Ale
3808;20.82;1.077;1.026;6.72;-1;26.37;26.5;?;1.055;75;1.25;0;All Grain;0.75;20.56;60.77;American IPA
3809;22.71;1.075;1.015;7.96;106.38;7.33;28.39;60;1.06;72;1.25;0;All Grain;?;?;60.75;American IPA
3810;22.71;1.073;1.018;7.19;?;4.53;28.39;60;1.058;65;1.5;0;All Grain;?;20;60.73;American IPA
3812;20.82;1.058;?;5.53;65.45;6.59;26.5;75;1.046;65;1.25;0;All Grain;0.5;20;60.58;American IPA
3813;40;1.017;1.004;1.62;26.79;8.02;28.5;60;1.023;35;3;0;All Grain;?;?;60.17;American Pale Ale
3817;23;1.026;1.005;2.72;0;12.5;26;60;1.023;35;2.5;0;All Grain;0.5;20;60.26;American IPA
3819;20;1.067;1.012;7.21;187.8;6.18;28;60;1.048;68;1.5;0;All Grain;1;19;60.67;American IPA
3820;24;1.046;?;4.96;41.37;3.5;30;60;1.036;75;3;0;?;1;20;60.46;American Pale Ale
3821;18;1.036;1.008;3.67;47.86;13.49;25;90;1.026;?;2.5;0;All Grain;?;19;60.36;American IPA
3822;18.93;?;1.017;6.85;67.07;9.21;11.36;60;?;35;?;0;extract;?;?;?;American IPA
3823;20.82;1.061;1.014;6.15;57.56;6.5;22.71;?;1.055;70;?;0;Partial Mash;0.75;21.11;60.61;American IPA
3824;22.71;1.052;1.012;5.19;?;4.58;28.39;90;1.041;72;1.5;0;All Grain;?;17.78;60.52;American Pale Ale
3826;40;1.054;1.012;5.41;35.58;7.61;50;60;1.043;70;40;0;All Grain;?;?;60.54;American Pale Ale
3828;20.82;1.065;?;6.53;233.82;11.7;28.39;60;1.047;75;1.5;0;All Grain;?;?;60.65;American Pale Ale
3829;18.93;1.081;1.023;7.6;75.64;3.85;13.25;60;1.115;72;?;0;Partial Mash;0.35;20;60.81;American IPA
3830;12.3;1.051;1.012;5.09;41.42;10.05;15.14;60;1.041;60;?;0;BIAB;?;20;60.51;American IPA
3832;20.82;1.05;?;4.82;65.49;6.79;15.14;75;1.068;60;?;0;BIAB;0.35;20;60.5;American Pale Ale
3835;18.93;1.056;1.007;6.39;52.45;3.59;26.5;60;1.04;63;?;0;?;?;18.33;60.56;American IPA
3836;20.82;1.042;1.008;4.38;32.58;5.69;26.5;60;1.033;63;1.5;0;All Grain;0.35;20.56;60.42;American Pale Ale
3838;42.02;1.061;?;6.61;29.96;6.04;52.62;60;1.049;80;1.25;0;All Grain;0.75;20;60.61;American Pale Ale
3840;24.61;1.055;1.013;5.58;40.12;8;?;70;1.047;79;?;0;All Grain;1;?;60.55;American Pale Ale
3844;20.82;1.05;1.013;4.94;23.81;?;24.98;60;1.042;65;1.25;0;All Grain;?;?;60.5;American Pale Ale
3845;18.93;1.06;1.014;6.1;36.57;6.9;22.71;60;1.05;70;1.25;0;All Grain;?;?;60.6;American IPA
3846;18.93;1.053;1.01;?;43.22;6.63;11.36;60;1.088;35;?;0;extract;0.35;20;60.53;American Pale Ale
3847;60;1.069;1.017;6.8;52.18;7.99;76;60;1.055;70;2.5;0;?;0.5;20;60.69;American IPA
3848;22.71;1.066;1.015;?;87.94;6.26;28.39;-1;1.053;70;1.25;0;All Grain;1;20.56;60.66;American IPA
3849;20.82;1.043;1.011;4.2;55.08;16.77;28.39;60;1.031;65;1.5;0;?;?;?;60.43;American IPA
3850;37.85;1.058;1.014;5.7;121.73;5.65;49.21;-1;1.045;64;1.5;0;All Grain;0.35;?;60.58;American IPA
3851;20.82;1.046;1.009;4.81;63.55;7.83;26.5;?;1.036;75;?;0;BIAB;?;17.78;60.46;American Pale Ale
3852;20;1.066;1.015;6.6;36.85;6.96;26;60;1.051;70;3;0;All Grain;?;20;60.66;American Pale Ale
3853;43.53;11.5523;2.58362;4.78;23.61;3.76;51.1;60;9.9;85;1.33;1;All Grain;?;16.67;165.523;American Pale Ale
3854;18.93;1.059;1.013;6.05;55.37;10.1;22.71;?;1.049;70;1.25;0;All Grain;0.75;20;60.59;American Pale Ale
3856;20.82;1.055;?;5.54;31.22;8.79;22.71;60;1.023;21;?;0;extract;1;20;60.55;American Pale Ale
3857;27;1.05;1.015;4.72;36.85;3.89;31;90;1.044;75;?;0;All Grain;?;?;60.5;American IPA
3858;23;1.088;1.024;8.39;83.7;9.14;27;60;1.075;75;2.78;0;All Grain;0.75;68;60.88;American IPA
3859;26;1.057;1.012;5.87;63.64;4.27;29.5;60;1.05;61.2;3;?;All Grain;?;20;60.57;American IPA
3863;45.42;15.8216;4.11872;?;93.72;7.3;45.42;60;15.8;80;?;1;All Grain;?;?;208.216;American IPA
3864;30;1.047;1.012;4.62;24.87;6;35;?;1.041;77;?;0;BIAB;?;19;60.47;American Pale Ale
3865;20.82;1.083;1.021;8.18;113.06;7.34;28.39;60;1.061;75;?;0;All Grain;0.35;18.33;60.83;American IPA
3866;15;1.052;1.009;5.7;53.77;10.27;18;60;1.043;65;2.75;0;All Grain;?;?;60.52;American Pale Ale
3869;18.93;1.077;1.029;6.3;42.86;6.29;?;60;1.077;70;?;0;BIAB;0.35;20;60.77;American IPA
3872;14;1.065;1.012;7.02;64.24;13.64;18.5;60;1.049;60;2.5;0;All Grain;?;20;60.65;American IPA
